Cell Type	TF/DNase/HistoneMark	Treatment	File accession	AUC	AUPRC	AUPRC Baseline
A549	DNase	None	wgEncodeAwgDnaseUwdukeA549UniPk.narrowPeak	0,88912009498196	0,445404791160675	0,0516544182284891
GM12878	DNase	None	wgEncodeAwgDnaseUwdukeGm12878UniPk.narrowPeak	0,895268981892547	0,403258509770081	0,0450393825380639
H1-hESC	DNase	None	wgEncodeAwgDnaseUwdukeH1hescUniPk.narrowPeak	0,922875567009004	0,49771121466308	0,0557157424663314
HeLa-S3	DNase	None	wgEncodeAwgDnaseUwdukeHelas3UniPk.narrowPeak	0,881399821992966	0,41314481635996	0,0539883610534829
HepG2	DNase	None	wgEncodeAwgDnaseUwdukeHepg2UniPk.narrowPeak	0,919644463401198	0,467314817619084	0,04369439853722
HMEC	DNase	None	wgEncodeAwgDnaseUwdukeHmecUniPk.narrowPeak	0,879333841307066	0,44875638926779	0,0703918914167165
HSMMtube	DNase	None	wgEncodeAwgDnaseUwdukeHsmmtubeUniPk.narrowPeak	0,91171327423798	0,515727527334389	0,067121734238194
HSMM	DNase	None	wgEncodeAwgDnaseUwdukeHsmmUniPk.narrowPeak	0,907026953832218	0,49145981268611	0,0669547100812265
HUVEC	DNase	None	wgEncodeAwgDnaseUwdukeHuvecUniPk.narrowPeak	0,905654383869995	0,443267004881015	0,0480985618341011
K562	DNase	None	wgEncodeAwgDnaseUwdukeK562UniPk.narrowPeak	0,903535042482563	0,43107491126909	0,0450833362635817
LNCaP	DNase	None	wgEncodeAwgDnaseUwdukeLncapUniPk.narrowPeak	0,87575155902128	0,415550389650494	0,057522240585112
MCF-7	DNase	None	wgEncodeAwgDnaseUwdukeMcf7UniPk.narrowPeak	0,887666733158598	0,412580770730768	0,0518390238756637
NHEK	DNase	None	wgEncodeAwgDnaseUwdukeNhekUniPk.narrowPeak	0,914142019105375	0,466967576797333	0,0515269524244875
Th1	DNase	None	wgEncodeAwgDnaseUwdukeTh1UniPk.narrowPeak	0,865216235741711	0,35818055770814	0,0500632933647456
GM06990	DNase	None	wgEncodeAwgDnaseUwGm06990UniPk.narrowPeak	0,902955171221191	0,325524830242387	0,0258403952318999
GM12864	DNase	None	wgEncodeAwgDnaseUwGm12864UniPk.narrowPeak	0,917940254894384	0,4162217031916	0,0368815710819649
GM12865	DNase	None	wgEncodeAwgDnaseUwGm12865UniPk.narrowPeak	0,926324849327028	0,456065430080212	0,038499068181019
H7-hESC	DNase	None	wgEncodeAwgDnaseUwH7hescUniPk.narrowPeak	0,91553690453489	0,491235316920668	0,0549905059952882
HAc	DNase	None	wgEncodeAwgDnaseUwHacUniPk.narrowPeak	0,92848688731603	0,488684148728621	0,046243714617251
HAEpiC	DNase	None	wgEncodeAwgDnaseUwHaepicUniPk.narrowPeak	0,926575880023523	0,490429836560775	0,0535356376806498
HA-h	DNase	None	wgEncodeAwgDnaseUwHahUniPk.narrowPeak	0,918749236625026	0,487763516814527	0,0509072048946869
HA-sp	DNase	None	wgEncodeAwgDnaseUwHaspUniPk.narrowPeak	0,867568073767126	0,310307910351425	0,0477425366574071
HBMEC	DNase	None	wgEncodeAwgDnaseUwHbmecUniPk.narrowPeak	0,927589774784672	0,514184176726172	0,0542696648967967
HCFaa	DNase	None	wgEncodeAwgDnaseUwHcfaaUniPk.narrowPeak	0,925915241139165	0,493208780082158	0,050054502619642
HCF	DNase	None	wgEncodeAwgDnaseUwHcfUniPk.narrowPeak	0,931345076896018	0,495684900629491	0,0481996554027919
HCM	DNase	None	wgEncodeAwgDnaseUwHcmUniPk.narrowPeak	0,932838333399506	0,520588953606534	0,0526389816800872
HConF	DNase	None	wgEncodeAwgDnaseUwHconfUniPk.narrowPeak	0,92942622623048	0,482795647631406	0,0431405815956961
HCPEpiC	DNase	None	wgEncodeAwgDnaseUwHcpepicUniPk.narrowPeak	0,920136522104539	0,497146353671468	0,0560497907802665
HCT-116	DNase	None	wgEncodeAwgDnaseUwHct116UniPk.narrowPeak	0,925107352570197	0,487610951023772	0,0336289953936496
HEEpiC	DNase	None	wgEncodeAwgDnaseUwHeepicUniPk.narrowPeak	0,934086436002418	0,550066231836228	0,0560541861528183
HFF-Myc	DNase	None	wgEncodeAwgDnaseUwHffmycUniPk.narrowPeak	0,914313098688778	0,483104907563067	0,0549817152501846
HFF	DNase	None	wgEncodeAwgDnaseUwHffUniPk.narrowPeak	0,925130896035667	0,502947828402917	0,0517115580716622
HGF	DNase	None	wgEncodeAwgDnaseUwHgfUniPk.narrowPeak	0,927895498119578	0,436505092845087	0,0394528640247547
HIPEpiC	DNase	None	wgEncodeAwgDnaseUwHipepicUniPk.narrowPeak	0,924607140102535	0,510248782021965	0,0600451844298323
HL-60	DNase	None	wgEncodeAwgDnaseUwHl60UniPk.narrowPeak	0,909168997014258	0,420474816520856	0,038657301592883
HMF	DNase	None	wgEncodeAwgDnaseUwHmfUniPk.narrowPeak	0,936543988613373	0,529311022253432	0,050608319561166
HMVEC-dAd	DNase	None	wgEncodeAwgDnaseUwHmvecdadUniPk.narrowPeak	0,927300706773233	0,447921376152806	0,0339322760997222
HMVEC-dBl-Ad	DNase	None	wgEncodeAwgDnaseUwHmvecdbladUniPk.narrowPeak	0,933941610557931	0,488458018982393	0,0423274376736172
HMVEC-dBl-Neo	DNase	None	wgEncodeAwgDnaseUwHmvecdblneoUniPk.narrowPeak	0,924905590440588	0,483512443512806	0,0435845142234256
HMVEC-dLy-Ad	DNase	None	wgEncodeAwgDnaseUwHmvecdlyadUniPk.narrowPeak	0,927537478132334	0,44867361995193	0,0325653152361194
HMVEC-dLy-Neo	DNase	None	wgEncodeAwgDnaseUwHmvecdlyneoUniPk.narrowPeak	0,930836519735609	0,479265605025934	0,0407582896726327
HMVEC-dNeo	DNase	None	wgEncodeAwgDnaseUwHmvecdneoUniPk.narrowPeak	0,930036611367944	0,477748669995982	0,0378353669257006
HMVEC-LBl	DNase	None	wgEncodeAwgDnaseUwHmveclblUniPk.narrowPeak	0,930317060320124	0,49605464925252	0,044977847322339
HMVEC-LLy	DNase	None	wgEncodeAwgDnaseUwHmvecllyUniPk.narrowPeak	0,923662477562372	0,464070821105052	0,0369958507683111
HNPCEpiC	DNase	None	wgEncodeAwgDnaseUwHnpcepicUniPk.narrowPeak	0,929924194675721	0,529143306551199	0,0566827244277225
HPAEC	DNase	None	wgEncodeAwgDnaseUwHpaecUniPk.narrowPeak	0,924899556473802	0,42879300317878	0,0337520658250993
HPAF	DNase	None	wgEncodeAwgDnaseUwHpafUniPk.narrowPeak	0,933486188407316	0,527559654614271	0,0519840711698724
HPdLF	DNase	None	wgEncodeAwgDnaseUwHpdlfUniPk.narrowPeak	0,926365565828957	0,458018417782028	0,0438350504588769
HPF	DNase	None	wgEncodeAwgDnaseUwHpfUniPk.narrowPeak	0,930353804042048	0,479590512561304	0,0431142093603854
HRCEpiC	DNase	None	wgEncodeAwgDnaseUwHrcepicUniPk.narrowPeak	0,921345216279398	0,484339109159914	0,0511401596399311
HRE	DNase	None	wgEncodeAwgDnaseUwHreUniPk.narrowPeak	0,923646858885076	0,494668077746005	0,0503885509335771
HRGEC	DNase	None	wgEncodeAwgDnaseUwHrgecUniPk.narrowPeak	0,910142935464664	0,421472672441162	0,037927669749288
HRPEpiC	DNase	None	wgEncodeAwgDnaseUwHrpepicUniPk.narrowPeak	0,913599259281748	0,459551327841193	0,0516544182284891
HVMF	DNase	None	wgEncodeAwgDnaseUwHvmfUniPk.narrowPeak	0,911136724505513	0,4234392042061	0,046085481205387
Jurkat	DNase	None	wgEncodeAwgDnaseUwJurkatUniPk.narrowPeak	0,921549586549506	0,461834594982472	0,0347586061394564
Monocytes-CD14+_RO01746	DNase	None	wgEncodeAwgDnaseUwMonocytescd14ro01746UniPk.narrowPeak	0,936719544125608	0,45947199358936	0,0332993424522663
NB4	DNase	None	wgEncodeAwgDnaseUwNb4UniPk.narrowPeak	0,931088120929416	0,46303243757333	0,0349124441787686
NH-A	DNase	None	wgEncodeAwgDnaseUwNhaUniPk.narrowPeak	0,931549681410664	0,495631756830671	0,0492105910897008
NHDF-Ad	DNase	None	wgEncodeAwgDnaseUwNhdfadUniPk.narrowPeak	0,930726523944182	0,507575814407154	0,0539927564260347
NHDF-neo	DNase	None	wgEncodeAwgDnaseUwNhdfneoUniPk.narrowPeak	0,925687728977076	0,457887810014584	0,0451888252048244
NHLF	DNase	None	wgEncodeAwgDnaseUwNhlfUniPk.narrowPeak	0,933492515012417	0,513828686540442	0,0519489081894581
NT2-D1	DNase	None	wgEncodeAwgDnaseUwNt2d1UniPk.narrowPeak	0,927061463705258	0,502130991475198	0,0436592355568058
PANC-1	DNase	None	wgEncodeAwgDnaseUwPanc1UniPk.narrowPeak	0,908114925122406	0,421661627180801	0,0287325503709694
PrEC	DNase	None	wgEncodeAwgDnaseUwPrecUniPk.narrowPeak	0,931840242047275	0,491355596371263	0,0448415907732339
RPTEC	DNase	None	wgEncodeAwgDnaseUwRptecUniPk.narrowPeak	0,911536645545229	0,443786551836198	0,0446701712437146
SAEC	DNase	None	wgEncodeAwgDnaseUwSaecUniPk.narrowPeak	0,934864807706784	0,542892522784589	0,0541114314849327
SKMC	DNase	None	wgEncodeAwgDnaseUwSkmcUniPk.narrowPeak	0,926250297754138	0,492451274129331	0,0539356165828616
SK-N-MC	DNase	None	wgEncodeAwgDnaseUwSknmcUniPk.narrowPeak	0,8830216018117	0,370632525026446	0,0417208762614719
SK-N-SH_RA	DNase	None	wgEncodeAwgDnaseUwSknshraUniPk.narrowPeak	0,939063718381794	0,397326478042188	0,0239547804071873
Th2	DNase	None	wgEncodeAwgDnaseUwTh2UniPk.narrowPeak	0,905005702972242	0,329197375055669	0,0232647069165583
WERI-Rb-1	DNase	None	wgEncodeAwgDnaseUwWerirb1UniPk.narrowPeak	0,913575693867259	0,427763727094291	0,0348289321002848
WI-38	DNase	4OHTAM_20nM_72hr	wgEncodeAwgDnaseUwWi38tamoxifentamoxifenUniPk.narrowPeak	0,91313455188304	0,447879256854316	0,0504720630120609
WI-38	DNase	None	wgEncodeAwgDnaseUwWi38UniPk.narrowPeak	0,92764939919182	0,462444704616354	0,0444547979886775
Dnd41	CTCF	None	wgEncodeAwgTfbsBroadDnd41CtcfUniPk.narrowPeak	0,979197732866084	0,69465093745552	0,0223328879355814
Dnd41	EZH2	None	wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk.narrowPeak	0,944861415399029	0,0472324906945355	0,0014065192165688
GM12878	CTCF	None	wgEncodeAwgTfbsBroadGm12878CtcfUniPk.narrowPeak	0,97843466016229	0,666103568383816	0,0266447484088751
GM12878	EZH2	None	wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk.narrowPeak	0,91944143607937	0,0468882592734669	0,00142849607932768
H1-hESC	CHD1	None	wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk.narrowPeak	0,947187054779237	0,189782203074396	0,00670733851401245
H1-hESC	CTCF	None	wgEncodeAwgTfbsBroadH1hescCtcfUniPk.narrowPeak	0,977368796644722	0,640254625504203	0,0296204156264285
H1-hESC	EZH2	None	wgEncodeAwgTfbsBroadH1hescEzh239875UniPk.narrowPeak	0,981665445066172	0,394533134620476	0,00786332149512993
H1-hESC	JARID1A	None	wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk.narrowPeak	0,987164153408287	0,185572833196695	0,000769190196561061
H1-hESC	RBBP5	None	wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk.narrowPeak	0,965011760748594	0,427508175886895	0,0173265585991069
HeLa-S3	CTCF	None	wgEncodeAwgTfbsBroadHelas3CtcfUniPk.narrowPeak	0,964978887084778	0,652005960214113	0,0369694785330005
HeLa-S3	EZH2	None	wgEncodeAwgTfbsBroadHelas3Ezh239875UniPk.narrowPeak	0,810107062215263	0,0186784118295579	0,00306797004114069
HeLa-S3	Pol2(b)	None	wgEncodeAwgTfbsBroadHelas3Pol2bUniPk.narrowPeak	0,890695267302914	0,108788383984566	0,00320862196279757
HepG2	CTCF	None	wgEncodeAwgTfbsBroadHepg2CtcfUniPk.narrowPeak	0,983452523201498	0,668507997369935	0,0236339182109076
HepG2	EZH2	None	wgEncodeAwgTfbsBroadHepg2Ezh239875UniPk.narrowPeak	0,951716912957369	0,0610401063806776	0,00209219733464608
HMEC	CTCF	None	wgEncodeAwgTfbsBroadHmecCtcfUniPk.narrowPeak	0,984604211267042	0,661437269351233	0,0189264742079539
HMEC	EZH2	None	wgEncodeAwgTfbsBroadHmecEzh239875UniPk.narrowPeak	0,959317411912923	0,201303987754356	0,00410527796336018
HSMM	CTCF	None	wgEncodeAwgTfbsBroadHsmmCtcfUniPk.narrowPeak	0,976226679899505	0,62765689244284	0,0229746123281409
HSMM	EZH2	None	wgEncodeAwgTfbsBroadHsmmEzh239875UniPk.narrowPeak	0,961192581911576	0,103387099814166	0,00135817011849924
HSMMtube	CTCF	None	wgEncodeAwgTfbsBroadHsmmtCtcfUniPk.narrowPeak	0,972644397062038	0,637638894942835	0,0275018460564717
HSMMtube	EZH2	None	wgEncodeAwgTfbsBroadHsmmtEzh239875UniPk.narrowPeak	0,984216727878915	0,164459188097112	0,00236910580540807
HUVEC	CTCF	None	wgEncodeAwgTfbsBroadHuvecCtcfUniPk.narrowPeak	0,982231847900432	0,665030375826353	0,02082087977777
HUVEC	EZH2	None	wgEncodeAwgTfbsBroadHuvecEzh239875UniPk.narrowPeak	0,985643204395569	0,357333164539843	0,00806990400506347
HUVEC	Pol2(b)	None	wgEncodeAwgTfbsBroadHuvecPol2bUniPk.narrowPeak	0,923989394571823	0,168723440748894	0,00459316431660748
K562	CHD1	None	wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk.narrowPeak	0,954814543486936	0,215094060021423	0,00600407890572805
K562	CTCF	None	wgEncodeAwgTfbsBroadK562CtcfUniPk.narrowPeak	0,970549293128412	0,623697104993377	0,0320334751573543
K562	EZH2	None	wgEncodeAwgTfbsBroadK562Ezh239875UniPk.narrowPeak	0,887793905561258	0,0278791639619928	0,000668096627870178
K562	HDAC1	None	wgEncodeAwgTfbsBroadK562Hdac1sc6298UniPk.narrowPeak	0,965512702386841	0,319972674034895	0,00858855796617321
K562	HDAC2	None	wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk.narrowPeak	0,952215035129037	0,101916757724579	0,0025976651781005
K562	HDAC6	None	wgEncodeAwgTfbsBroadK562Hdac6a301341aUniPk.narrowPeak	0,980055801606287	0,0148903151521406	0,000268117725658427
K562	p300	None	wgEncodeAwgTfbsBroadK562P300UniPk.narrowPeak	0,905436095004613	0,095227241051392	0,00114279686346215
K562	PHF8	None	wgEncodeAwgTfbsBroadK562Phf8a301772aUniPk.narrowPeak	0,983633749618379	0,692781408927044	0,01659253138296
K562	PLU1	None	wgEncodeAwgTfbsBroadK562Plu1UniPk.narrowPeak	0,964963855858147	0,44474460201953	0,0108961285558564
K562	Pol2(b)	None	wgEncodeAwgTfbsBroadK562Pol2bUniPk.narrowPeak	0,945730788157071	0,291348798569638	0,00793364745595837
K562	RBBP5	None	wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk.narrowPeak	0,961206230325522	0,43736381767284	0,012425718203875
K562	SAP30	None	wgEncodeAwgTfbsBroadK562Sap3039731UniPk.narrowPeak	0,98389618535634	0,369479217725271	0,00694029325925665
NH-A	CTCF	None	wgEncodeAwgTfbsBroadNhaCtcfUniPk.narrowPeak	0,980297300105072	0,657851280006082	0,0200560849537607
NH-A	EZH2	None	wgEncodeAwgTfbsBroadNhaEzh239875UniPk.narrowPeak	0,986685557438693	0,359347250514493	0,00727873694574352
NHDF-Ad	CTCF	None	wgEncodeAwgTfbsBroadNhdfadCtcfUniPk.narrowPeak	0,976131175152979	0,618273038824334	0,0221922360139245
NHDF-Ad	EZH2	None	wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk.narrowPeak	0,985680664360356	0,314445840985392	0,00632054572945603
NHEK	CTCF	None	wgEncodeAwgTfbsBroadNhekCtcfUniPk.narrowPeak	0,972821769083518	0,634082978536741	0,0256074404866557
NHEK	EZH2	None	wgEncodeAwgTfbsBroadNhekEzh239875UniPk.narrowPeak	0,978477202471331	0,301530656028674	0,00729631843595063
NHEK	Pol2(b)	None	wgEncodeAwgTfbsBroadNhekPol2bUniPk.narrowPeak	0,858047705575805	0,0877673661864135	0,00492281725799079
NHLF	CTCF	None	wgEncodeAwgTfbsBroadNhlfCtcfUniPk.narrowPeak	0,980536774751085	0,633365670225313	0,0206318787580435
NHLF	EZH2	None	wgEncodeAwgTfbsBroadNhlfEzh239875UniPk.narrowPeak	0,97471013066767	0,259857830786783	0,00657547733745912
Osteobl	CTCF	None	wgEncodeAwgTfbsBroadOsteoblCtcfUniPk.narrowPeak	0,965308369821895	0,670038687958355	0,0372024332782447
A549	ATF3	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Atf3V0422111Etoh02UniPk.narrowPeak	0,913191800918893	0,115689223443881	0,00583265937620873
A549	BCL3	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Bcl3V0422111Etoh02UniPk.narrowPeak	0,86767216834956	0,0965989009295342	0,00780618165195682
A549	CREB1	DEX_100nM	wgEncodeAwgTfbsHaibA549Creb1sc240V0416102Dex100nmUniPk.narrowPeak	0,965667429016555	0,43972011012537	0,00822374204437568
A549	CTCF	DEX_100nM	wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xDex100nmUniPk.narrowPeak	0,987773363704861	0,561250423509092	0,0128037202433278
A549	CTCF	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk.narrowPeak	0,987068508106482	0,604190763333682	0,0135069798516122
A549	ELF1	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk.narrowPeak	0,938142161099132	0,284099561090404	0,00609638172931538
A549	ETS1	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Ets1V0422111Etoh02UniPk.narrowPeak	0,943484969777415	0,271801883760538	0,00431625584584549
A549	FOSL2	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Fosl2V0422111Etoh02UniPk.narrowPeak	0,93265812462844	0,34345775497602	0,0210802067583248
A549	FOXA1	DEX_100nM	wgEncodeAwgTfbsHaibA549Foxa1V0416102Dex100nmUniPk.narrowPeak	0,900893331535226	0,0546206405034701	0,00451404761067548
A549	GABP	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549GabpV0422111Etoh02UniPk.narrowPeak	0,943008354736693	0,365340037922163	0,0104873589085411
A549	GR	DEX_500pM	wgEncodeAwgTfbsHaibA549GrPcr1xDex500pmUniPk.narrowPeak	0,922765242974163	0,026556726378109	0,000518653961109744
A549	GR	DEX_50nM	wgEncodeAwgTfbsHaibA549GrPcr1xDex50nmUniPk.narrowPeak	0,863613910741575	0,139942067746129	0,01394651710679
A549	GR	DEX_5nM	wgEncodeAwgTfbsHaibA549GrPcr1xDex5nmUniPk.narrowPeak	0,891522056271358	0,111983723535471	0,00632933647455958
A549	GR	DEX_100nM	wgEncodeAwgTfbsHaibA549GrPcr2xDex100nmUniPk.narrowPeak	0,889334482614572	0,150398029700263	0,0099774956925349
A549	NRSF	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549NrsfV0422111Etoh02UniPk.narrowPeak	0,904815163166665	0,241899333260755	0,0106719645557157
A549	p300	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549P300V0422111Etoh02UniPk.narrowPeak	0,883371052748287	0,179598403843354	0,0171375575793804
A549	Pol2	DEX_100nM	wgEncodeAwgTfbsHaibA549Pol2Pcr2xDex100nmUniPk.narrowPeak	0,959203152544942	0,616489622754695	0,0199593867576216
A549	Pol2	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Pol2Pcr2xEtoh02UniPk.narrowPeak	0,960457187699304	0,633888643289565	0,0191726150708534
A549	Sin3Ak-20	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Sin3ak20V0422111Etoh02UniPk.narrowPeak	0,885424570519425	0,102210764692392	0,00735345827912374
A549	SIX5	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Six5V0422111Etoh02UniPk.narrowPeak	0,940631615768713	0,245929556865757	0,003397622982524
A549	TAF1	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Taf1V0422111Etoh02UniPk.narrowPeak	0,933993716574768	0,360833581543269	0,00608319561166004
A549	TCF12	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk.narrowPeak	0,881868319472176	0,20443973846014	0,0202143183656247
A549	USF1	DEX_100nM	wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk.narrowPeak	0,945060376240926	0,240960525097205	0,00582386863110517
A549	USF1	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk.narrowPeak	0,968261179658711	0,329823291219924	0,00519972572875277
A549	USF1	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk.narrowPeak	0,930509025863446	0,244486134503823	0,00505028306199233
A549	YY1	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk.narrowPeak	0,941257010382314	0,317365346091767	0,00837318471113612
A549	ZBTB33	EtOH_0.02pct	wgEncodeAwgTfbsHaibA549Zbtb33V0422111Etoh02UniPk.narrowPeak	0,913123419784863	0,146803421659571	0,00612275396462604
ECC-1	CTCF	DMSO_0.02pct	wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk.narrowPeak	0,994901971248916	0,752461494305448	0,00983244839832624
ECC-1	ERalpha	BPA_100nM	wgEncodeAwgTfbsHaibEcc1EraaV0416102Bpa1hUniPk.narrowPeak	0,878895274916151	0,0273335609492391	0,00204384823657653
ECC-1	ERalpha	Estradiol_10nM	wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Est10nm1hUniPk.narrowPeak	0,854146372389954	0,0740760705595258	0,0088654664369352
ECC-1	ERalpha	Genistein_100nM	wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Gen1hUniPk.narrowPeak	0,863942600069352	0,0647232055350605	0,00592935757234783
ECC-1	FOXA1	DMSO_0.02pct	wgEncodeAwgTfbsHaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk.narrowPeak	0,920940702604127	0,0697933743558733	0,00224164000140652
ECC-1	GR	DEX_100nM	wgEncodeAwgTfbsHaibEcc1GrV0416102Dex100nmUniPk.narrowPeak	0,875242026674748	0,0587696287958124	0,00436460494391505
ECC-1	Pol2	DMSO_0.02pct	wgEncodeAwgTfbsHaibEcc1Pol2V0416102Dm002p1hUniPk.narrowPeak	0,970602593811658	0,591636472310402	0,0110499665951686
GM12878	ATF2	None	wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk.narrowPeak	0,908166106676457	0,224196812649977	0,0184078202468441
GM12878	ATF3	None	wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk.narrowPeak	0,971901031850626	0,224978348049384	0,000492281725799079
GM12878	BATF	None	wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk.narrowPeak	0,932021718941184	0,229092910501009	0,0130894194591934
GM12878	BCL11A	None	wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk.narrowPeak	0,942711194964554	0,176233668234327	0,00842153380920567
GM12878	BCL3	None	wgEncodeAwgTfbsHaibGm12878Bcl3V0416101UniPk.narrowPeak	0,904599573684061	0,166973138002851	0,00939291114314849
GM12878	BCLAF1	None	wgEncodeAwgTfbsHaibGm12878Bclaf101388V0416101UniPk.narrowPeak	0,958378311561054	0,137324431989333	0,0037888111396322
GM12878	CEBPB	None	wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk.narrowPeak	0,917012442263099	0,102450000633674	0,00539751749358276
GM12878	EBF1	None	wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk.narrowPeak	0,903966500887291	0,180580291103664	0,0145486831463835
GM12878	Egr-1	None	wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk.narrowPeak	0,968068142252723	0,255544609436656	0,00579749639579451
GM12878	ELF1	None	wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk.narrowPeak	0,971719081443332	0,479957441565363	0,0113092935757235
GM12878	ETS1	None	wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk.narrowPeak	0,98562981114754	0,256840963905443	0,00144607756953479
GM12878	FOXM1	None	wgEncodeAwgTfbsHaibGm12878Foxm1sc502V0422111UniPk.narrowPeak	0,907992477173165	0,202105966982268	0,0181089349133233
GM12878	GABP	None	wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk.narrowPeak	0,987640089063029	0,519737292020123	0,00306357466858891
GM12878	IRF4	None	wgEncodeAwgTfbsHaibGm12878Irf4sc6059Pcr1xUniPk.narrowPeak	0,93451814998309	0,175851412259252	0,00966981961391048
GM12878	MEF2A	None	wgEncodeAwgTfbsHaibGm12878Mef2aPcr1xUniPk.narrowPeak	0,92926302231857	0,15421185419949	0,00872041914272654
GM12878	MEF2C	None	wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk.narrowPeak	0,935128543273015	0,0957348938269849	0,00473821161081613
GM12878	MTA3	None	wgEncodeAwgTfbsHaibGm12878Mta3sc81325V0422111UniPk.narrowPeak	0,899905647805789	0,146843716889899	0,0109225007911671
GM12878	NFATC1	None	wgEncodeAwgTfbsHaibGm12878Nfatc1sc17834V0422111UniPk.narrowPeak	0,897017679786468	0,16643607404533	0,0098412391434298
GM12878	NFIC	None	wgEncodeAwgTfbsHaibGm12878Nficsc81335V0422111UniPk.narrowPeak	0,900132327772417	0,244935525829101	0,0247811104469215
GM12878	NRSF	None	wgEncodeAwgTfbsHaibGm12878NrsfPcr1xUniPk.narrowPeak	0,972767884987631	0,435653667212084	0,00395143992404796
GM12878	p300	None	wgEncodeAwgTfbsHaibGm12878P300Pcr1xUniPk.narrowPeak	0,958002112736493	0,111536429473845	0,00266359576637716
GM12878	PAX5-C20	None	wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk.narrowPeak	0,900678120509542	0,164839946718268	0,0105796617321284
GM12878	PAX5-N19	None	wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk.narrowPeak	0,915295957684895	0,169315734168931	0,00975333169239425
GM12878	Pbx3	None	wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk.narrowPeak	0,931529497934243	0,110592513003096	0,00343278596293822
GM12878	PML	None	wgEncodeAwgTfbsHaibGm12878Pmlsc71910V0422111UniPk.narrowPeak	0,926881394869564	0,312848831775709	0,0136871901262351
GM12878	Pol2-4H8	None	wgEncodeAwgTfbsHaibGm12878Pol24h8Pcr1xUniPk.narrowPeak	0,892877933657506	0,361664265966656	0,0176650022855937
GM12878	Pol2	None	wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk.narrowPeak	0,957350670044248	0,592016780822495	0,0276424979781286
GM12878	POU2F2	None	wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk.narrowPeak	0,925661202231363	0,197680905331668	0,0108829424382011
GM12878	PU.1	None	wgEncodeAwgTfbsHaibGm12878Pu1Pcr1xUniPk.narrowPeak	0,963193626552024	0,439192057510082	0,0184210063644995
GM12878	Rad21	None	wgEncodeAwgTfbsHaibGm12878Rad21V0416101UniPk.narrowPeak	0,980068362894356	0,581545466162044	0,0116653187524175
GM12878	RUNX3	None	wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk.narrowPeak	0,918940733769962	0,384796033509322	0,0367365237877563
