Cell Type	TF/DNase/HistoneMark	Treatment	File accession	AUC	AUPRC	AUPRC Baseline
HUVEC	Pol2	None	wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk.narrowPeak	0,926147665614697	0,408198621530474	0,0152343612644608
K562	ATF3	None	wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk.narrowPeak	0,966515758476903	0,247612361283233	0,00532279616020254
K562	BCL3	None	wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk.narrowPeak	0,946783024023689	0,0553591458545198	0,000395583529659974
K562	BCLAF1	None	wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk.narrowPeak	0,951982545840029	0,116570325857056	0,0018944055698161
K562	CBX3	None	wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk.narrowPeak	0,867518233350621	0,134963340136972	0,0135860965575442
K562	CEBPB	None	wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk.narrowPeak	0,945297110927185	0,232852642911994	0,0108829424382011
K562	CTCF	None	wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk.narrowPeak	0,983784130785837	0,603404828144033	0,016315622912198
K562	CTCFL	None	wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk.narrowPeak	0,989923324054993	0,286065928699063	0,00281303843313759
K562	E2F6	None	wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk.narrowPeak	0,963235911453432	0,377843847624326	0,0113488519286895
K562	Egr-1	None	wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk.narrowPeak	0,931456349834047	0,272429239063419	0,0132212806357467
K562	ELF1	None	wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk.narrowPeak	0,958270990843952	0,39381482060537	0,010746685889096
K562	ETS1	None	wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk.narrowPeak	0,97443352412364	0,334161107780271	0,00527005168958121
K562	FOSL1	None	wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk.narrowPeak	0,977913227480719	0,299125319211858	0,00385474172790886
K562	GABP	None	wgEncodeAwgTfbsHaibK562GabpV0416101UniPk.narrowPeak	0,970624016443864	0,429649369484432	0,00652273286683779
K562	GATA2	None	wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk.narrowPeak	0,958298093249682	0,255065628601143	0,00747652871057351
K562	HDAC2	None	wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk.narrowPeak	0,946921693051565	0,100802885201903	0,00232515207989029
K562	Max	None	wgEncodeAwgTfbsHaibK562MaxV0416102UniPk.narrowPeak	0,946450202756487	0,441857904388967	0,0235987552304933
K562	MEF2A	None	wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk.narrowPeak	0,916608231957154	0,0486007087757848	0,00162189247160589
K562	NR2F2	None	wgEncodeAwgTfbsHaibK562Nr2f2sc271940V0422111UniPk.narrowPeak	0,920975477346131	0,170235016996288	0,00940609726080383
K562	NRSF	None	wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk.narrowPeak	0,950617333473856	0,28672461429434	0,00567442596434474
K562	PML	None	wgEncodeAwgTfbsHaibK562Pmlsc71910V0422111UniPk.narrowPeak	0,942659129205291	0,311608711960976	0,0107906396146137
K562	Pol2-4H8	None	wgEncodeAwgTfbsHaibK562Pol24h8V0416101UniPk.narrowPeak	0,93178903784789	0,337709831350619	0,0105532894968178
K562	Pol2	None	wgEncodeAwgTfbsHaibK562Pol2V0416101UniPk.narrowPeak	0,951292087113652	0,569183277572391	0,0194055698160976
K562	PU.1	None	wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk.narrowPeak	0,967879614146419	0,272348893007568	0,00897535075072963
K562	Rad21	None	wgEncodeAwgTfbsHaibK562Rad21V0416102UniPk.narrowPeak	0,987508716551251	0,560030554174248	0,00942807412356271
K562	Sin3Ak-20	None	wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk.narrowPeak	0,973752096253531	0,285852519051886	0,00476897921867858
K562	SIX5	None	wgEncodeAwgTfbsHaibK562Six5Pcr1xUniPk.narrowPeak	0,991661660723947	0,398325843016708	0,00141091458912057
K562	SP1	None	wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk.narrowPeak	0,97270541248729	0,268954965444143	0,00278227082527515
K562	SP2	None	wgEncodeAwgTfbsHaibK562Sp2sc643V0416102UniPk.narrowPeak	0,991181539029245	0,320950997986103	0,000984563451598158
K562	SRF	None	wgEncodeAwgTfbsHaibK562SrfV0416101UniPk.narrowPeak	0,914001352653024	0,0895806529274322	0,0014065192165688
K562	STAT5A	None	wgEncodeAwgTfbsHaibK562Stat5asc74442V0422111UniPk.narrowPeak	0,948215404181094	0,169746551727452	0,00528323780723654
K562	TAF1	None	wgEncodeAwgTfbsHaibK562Taf1V0416101UniPk.narrowPeak	0,973415421098868	0,439120111205753	0,00699743310242976
